,CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,SEATLOC,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,EYEWEAR,POSTURE,BELTUSE
31318,27340,77,82,1-77-2022-082-06,6,1,1,11,37,999,73,2,8,1,9,99,4
31319,27346,21,54,1-21-2022-054-02,2,2,1,11,22,173,82,1,8,1,9,99,4
31320,27346,21,54,1-21-2022-054-02,2,2,2,13,24,999,999,1,8,2,9,99,4
31321,27346,21,54,1-21-2022-054-02,2,2,3,21,29,999,999,2,8,2,9,99,4
31322,26024,17,45,1-17-2022-045-09,9,1,1,11,72,999,999,1,8,1,9,99,4
31323,26024,17,45,1-17-2022-045-09,9,2,1,11,61,999,999,1,8,1,9,99,4
31324,26025,12,30,1-12-2022-030-03,3,1,1,11,24,163,52,2,8,1,9,99,4
31325,26025,12,30,1-12-2022-030-03,3,2,1,11,76,188,65,1,8,1,9,99,0
31326,26030,22,8,1-22-2022-008-08,8,1,1,11,91,163,43,1,8,1,0,0,4
31327,26033,20,92,1-20-2022-092-08,8,1,1,11,17,173,79,1,8,1,9,99,4
31328,26034,20,93,1-20-2022-093-04,4,1,1,11,22,173,64,2,8,1,9,99,4
31329,26034,20,93,1-20-2022-093-04,4,1,2,13,22,999,999,2,8,2,9,99,4
31330,26039,25,40,1-25-2022-040-03,3,1,1,11,38,999,999,2,8,1,9,99,4
31331,27346,21,54,1-21-2022-054-02,2,2,4,23,22,170,62,1,8,2,9,99,4
31332,27349,17,94,1-17-2022-094-04,4,1,1,11,73,180,113,1,8,1,0,0,4
31333,27349,17,94,1-17-2022-094-04,4,1,2,13,73,170,95,2,8,2,0,0,4
31334,27343,59,69,1-59-2022-069-10,10,1,1,11,17,999,999,1,8,1,9,99,4
31335,27060,54,69,1-54-2022-069-10,10,1,1,11,30,999,999,1,8,1,9,99,4
31336,27750,10,168,1-10-2022-168-01,1,1,1,11,41,999,999,1,8,1,9,99,4
31337,27750,10,168,1-10-2022-168-01,1,1,2,13,41,999,50,2,8,2,9,99,4
31338,27750,10,168,1-10-2022-168-01,1,1,3,21,27,999,999,2,8,2,9,99,4
31339,27750,10,168,1-10-2022-168-01,1,1,6,98,28,178,81,1,8,2,9,99,0
31340,27750,10,168,1-10-2022-168-01,1,1,5,23,17,160,103,2,8,2,9,99,0
31341,26344,28,55,1-28-2022-055-04,4,1,1,11,43,163,83,2,8,1,0,0,4
31342,26347,31,47,1-31-2022-047-07,7,1,1,11,25,180,77,1,8,1,0,99,4
31343,26321,14,52,1-14-2022-052-03,3,1,1,11,67,999,91,2,8,1,9,99,4
31344,26347,31,47,1-31-2022-047-07,7,1,2,13,26,160,54,2,8,2,0,99,0
31345,26350,76,56,1-76-2022-056-06,6,2,1,11,50,185,111,1,8,1,9,99,4
