CASEID,PSU,CASENO,CASENUMBER,CATEGORY,EVENTNO,VEHNUM,CLASS1,GAD1,CLASS2,GAD2
6275,30,8,1-30-2017-008-02,2,1,1,3,F,15,B
6279,26,3,1-26-2017-003-02,2,1,1,30,F,1,B
6271,20,5,1-20-2017-005-03,3,1,1,14,F,3,B
6281,30,11,1-30-2017-011-02,2,1,1,14,F,14,B
6268,15,5,1-15-2017-005-03,3,1,1,2,F,3,R
6267,15,4,1-15-2017-004-09,9,1,1,1,F,14,B
6267,15,4,1-15-2017-004-09,9,2,1,1,R,3,F
6267,15,4,1-15-2017-004-09,9,5,1,1,F,0,0
6267,15,4,1-15-2017-004-09,9,3,1,1,R,3,L
6267,15,4,1-15-2017-004-09,9,4,3,3,F,0,0
6228,10,3,1-10-2017-003-09,9,1,2,68,L,3,R
6235,16,6,1-16-2017-006-05,5,1,1,14,F,4,B
6293,14,6,1-14-2017-006-02,2,1,1,15,F,4,B
6293,14,6,1-14-2017-006-02,2,2,2,4,F,31,B
6295,10,4,1-10-2017-004-04,4,2,1,3,L,0,0
6299,24,9,1-24-2017-009-10,10,1,1,15,F,20,L
6300,24,10,1-24-2017-010-06,6,1,1,2,T,0,0
6298,24,8,1-24-2017-008-06,6,1,1,1,R,21,F
6307,12,5,1-12-2017-005-04,4,1,1,14,R,14,F
6303,16,9,1-16-2017-009-05,5,1,1,1,F,0,0
6303,16,9,1-16-2017-009-05,5,2,1,1,F,0,0
6306,32,10,1-32-2017-010-03,3,1,1,31,B,3,F
6308,29,3,1-29-2017-003-10,10,1,1,2,L,2,R
6305,32,9,1-32-2017-009-01,1,1,1,31,F,2,R
6305,32,9,1-32-2017-009-01,1,2,1,31,L,2,R
6305,32,9,1-32-2017-009-01,1,3,1,31,T,0,N
6305,32,9,1-32-2017-009-01,1,4,1,31,R,0,0
6305,32,9,1-32-2017-009-01,1,5,1,31,9,0,0
6305,32,9,1-32-2017-009-01,1,6,1,31,T,4,R
6305,32,9,1-32-2017-009-01,1,7,1,31,N,0,N
6308,29,3,1-29-2017-003-10,10,2,2,2,F,0,0
6304,16,10,1-16-2017-010-02,2,1,1,3,L,0,0
6312,19,18,1-19-2017-018-03,3,1,1,20,F,4,F
6310,19,17,1-19-2017-017-02,2,1,1,4,F,4,B
6311,31,5,1-31-2017-005-03,3,1,1,3,F,68,L
6311,31,5,1-31-2017-005-03,3,2,1,3,F,68,D
6313,21,5,1-21-2017-005-03,3,1,1,4,R,0,0
6313,21,5,1-21-2017-005-03,3,3,1,4,F,0,0
6313,21,5,1-21-2017-005-03,3,2,1,4,U,0,0
6296,23,8,1-23-2017-008-03,3,1,1,31,F,0,0
6324,33,8,1-33-2017-008-03,3,1,1,31,L,3,F
6317,17,11,1-17-2017-011-07,7,1,1,4,F,14,R
6316,13,10,1-13-2017-010-01,1,1,1,15,F,3,F
6322,22,12,1-22-2017-012-07,7,1,1,31,L,0,0
6323,33,7,1-33-2017-007-09,9,1,1,14,F,0,0
6315,13,9,1-13-2017-009-04,4,1,1,4,F,3,B
6326,20,8,1-20-2017-008-09,9,1,1,5,F,5,B
6321,22,11,1-22-2017-011-09,9,2,1,14,T,0,0
6321,22,11,1-22-2017-011-09,9,1,1,14,L,0,N
6328,15,6,1-15-2017-006-03,3,1,1,31,F,4,F
6297,28,5,1-28-2017-005-08,8,1,1,3,L,0,0
6297,28,5,1-28-2017-005-08,8,2,1,3,F,0,0
6331,30,13,1-30-2017-013-06,6,1,2,2,F,14,R
6329,30,12,1-30-2017-012-05,5,1,1,4,F,15,B
6329,30,12,1-30-2017-012-05,5,2,2,15,F,14,B
6314,18,6,1-18-2017-006-10,10,1,1,5,F,14,B
6318,26,4,1-26-2017-004-09,9,1,1,31,F,0,0
6318,26,4,1-26-2017-004-09,9,2,1,31,F,0,0
6340,14,7,1-14-2017-007-08,8,1,1,14,F,31,B
6340,14,7,1-14-2017-007-08,8,2,2,31,F,20,B
6343,28,6,1-28-2017-006-03,3,1,1,60,F,3,B
6343,28,6,1-28-2017-006-03,3,2,2,3,R,0,0
6343,28,6,1-28-2017-006-03,3,3,2,3,R,0,0
