CASEID,PSU,CASENO,CASENUMBER,DAMPLANE,CATEGORY,VEHNO,DVLONG,DVLAT,DVTOTAL,CRASHTYPE,PREFHE,MODELYR,BODYTYPE,BODYCAT,SPEEDLIMIT,CRITEVENT,CRASHCONF,DRUGTEST,ALCTESTRESULT,ALCTESTSRC
6273,20,7,1-20-2017-007-03,F,3,1,-23,0,23,24,0,2014,34,5,72,51,D,0,995,0
6273,20,7,1-20-2017-007-03,B,3,2,33,0,33,25,0,2010,6,1,72,53,D,1,0,2
6273,20,7,1-20-2017-007-03,B,3,3,3,0,3,98,0,2007,15,3,72,53,M,0,995,0
6249,28,4,1-28-2017-004-04,F,4,1,999,999,999,12,0,2013,4,1,40,5,C,0,995,0
6248,28,3,1-28-2017-003-08,F,8,1,-30,0,30,1,1,2007,4,1,56,13,A,2,0,2
6258,18,4,1-18-2017-004-10,F,10,1,-11,0,11,11,1,2005,4,1,40,5,C,0,995,0
6259,18,5,1-18-2017-005-09,F,9,1,-12,7,13,82,0,2011,20,4,48,15,K,0,995,0
6259,18,5,1-18-2017-005-09,F,9,2,-22,-8,23,83,0,1996,4,1,48,67,K,0,995,0
6274,30,7,1-30-2017-007-03,F,3,1,-45,0,45,6,1,2014,34,5,72,12,B,1,0,2
6277,30,10,1-30-2017-010-03,F,3,1,-28,-16,33,68,0,2014,14,3,56,15,J,0,995,0
6277,30,10,1-30-2017-010-03,F,3,2,-34,6,34,69,0,2016,14,3,56,62,J,0,995,0
6275,30,8,1-30-2017-008-02,F,2,1,-19,0,19,20,0,2014,4,1,72,50,D,0,146,2
6275,30,8,1-30-2017-008-02,B,2,2,11,0,11,21,0,2004,15,3,72,53,D,0,995,0
6279,26,3,1-26-2017-003-02,F,2,1,-43,0,43,20,0,1997,34,5,64,50,D,9,998,8
6279,26,3,1-26-2017-003-02,B,2,2,62,0,62,21,0,2013,5,1,64,53,D,9,995,0
6271,20,5,1-20-2017-005-03,F,3,1,-18,0,18,24,0,1995,14,3,56,51,D,0,995,0
6281,30,11,1-30-2017-011-02,F,2,1,999,999,999,20,0,1998,14,3,72,50,D,0,995,0
6281,30,11,1-30-2017-011-02,B,2,2,999,999,999,21,0,2014,14,3,72,52,D,0,995,0
6271,20,5,1-20-2017-005-03,B,3,2,19,0,19,25,0,2016,6,1,56,53,D,0,995,0
6268,15,5,1-15-2017-005-03,F,3,1,-10,2,10,82,0,2010,4,1,48,15,K,0,995,0
6268,15,5,1-15-2017-005-03,R,3,2,-3,-8,8,83,0,2016,2,1,32,67,K,0,995,0
6267,15,4,1-15-2017-004-09,F,9,1,999,999,999,24,0,1994,4,1,48,51,D,0,0,2
6267,15,4,1-15-2017-004-09,B,9,2,999,999,999,25,0,2010,14,3,48,53,D,0,995,0
6267,15,4,1-15-2017-004-09,F,9,3,999,999,999,98,0,2007,4,1,48,60,M,0,995,0
6228,10,3,1-10-2017-003-09,L,9,2,999,999,999,47,1,1996,66,8,105,61,F,0,995,0
6235,16,6,1-16-2017-006-05,F,5,1,-12,0,12,20,0,2013,14,3,89,50,D,0,995,0
6235,16,6,1-16-2017-006-05,B,5,2,16,0,16,21,0,2012,4,1,89,52,D,0,995,0
6293,14,6,1-14-2017-006-02,F,2,1,-17,0,17,28,0,2010,15,3,72,52,D,0,995,0
6293,14,6,1-14-2017-006-02,F,2,2,999,999,999,29,0,2014,6,1,72,53,D,0,995,0
6293,14,6,1-14-2017-006-02,B,2,3,999,999,999,98,0,2004,34,5,72,53,M,0,995,0
6295,10,4,1-10-2017-004-04,L,4,1,999,999,999,98,0,2013,4,1,72,90,M,0,995,0
6299,24,9,1-24-2017-009-10,F,10,1,-4,-7,8,88,0,2015,15,3,56,17,L,0,995,0
6299,24,9,1-24-2017-009-10,L,10,2,-7,6,9,89,0,2003,20,4,56,66,L,0,995,0
6300,24,10,1-24-2017-010-06,T,6,1,999,999,999,98,0,2010,6,1,80,90,M,0,995,0
6298,24,8,1-24-2017-008-06,R,6,1,-2,-9,9,87,0,2010,5,1,80,72,L,0,995,0
6298,24,8,1-24-2017-008-06,F,6,2,-4,0,4,86,0,2003,21,4,80,15,L,0,995,0
6307,12,5,1-12-2017-005-04,R,4,1,-8,-15,17,87,0,2014,14,3,56,17,L,0,995,0
6303,16,9,1-16-2017-009-05,F,5,1,999,999,999,1,1,2012,4,1,56,13,A,0,995,0
6306,32,10,1-32-2017-010-03,B,3,1,999,999,999,22,0,9999,34,5,72,53,D,0,995,0
6306,32,10,1-32-2017-010-03,F,3,2,999,999,999,20,0,2016,9,1,72,50,D,0,995,0
6307,12,5,1-12-2017-005-04,F,4,2,-19,7,20,86,0,2005,14,3,56,66,L,0,995,0
6308,29,3,1-29-2017-003-10,L,10,1,999,999,999,47,1,2003,4,1,105,10,F,9,995,0
6305,32,9,1-32-2017-009-01,F,1,1,999,999,999,86,0,2008,34,5,56,17,L,3,997,8
6308,29,3,1-29-2017-003-10,F,10,2,-12,7,14,45,0,2006,4,1,105,51,F,9,995,0
6304,16,10,1-16-2017-010-02,L,2,1,999,999,999,6,1,2015,4,1,105,12,B,3,997,8
6305,32,9,1-32-2017-009-01,R,1,2,999,999,999,87,0,2005,2,1,56,66,L,0,995,0
6312,19,18,1-19-2017-018-03,F,3,1,999,999,999,50,1,1998,20,4,56,10,G,0,995,0
6312,19,18,1-19-2017-018-03,F,3,2,999,999,999,51,0,2013,4,1,56,62,G,0,995,0
6310,19,17,1-19-2017-017-02,F,2,1,-18,0,18,20,0,2011,4,1,72,50,D,0,995,0
6310,19,17,1-19-2017-017-02,B,2,2,17,0,17,21,0,2016,2,1,72,53,D,0,995,0
6311,31,5,1-31-2017-005-03,F,3,1,999,999,999,11,1,2017,2,1,113,11,C,0,995,0
6313,21,5,1-21-2017-005-03,F,3,1,-20,0,20,1,1,2014,4,1,56,13,A,0,995,0
6296,23,8,1-23-2017-008-03,F,3,1,999,999,999,13,0,2015,34,5,89,87,C,0,995,0
6324,33,8,1-33-2017-008-03,L,3,1,-15,9,18,82,0,1999,34,5,40,15,K,0,995,0
6317,17,11,1-17-2017-011-07,F,7,1,-7,4,8,82,0,2011,4,1,48,15,K,0,995,0
6317,17,11,1-17-2017-011-07,R,7,2,-5,-6,8,83,0,2008,14,3,48,72,K,0,995,0
6316,13,10,1-13-2017-010-01,F,1,1,-85,-31,91,52,0,2009,15,3,80,54,G,3,144,2
6316,13,10,1-13-2017-010-01,F,1,2,-126,46,134,52,0,2007,4,1,97,54,G,1,183,3
6324,33,8,1-33-2017-008-03,F,3,2,-34,-12,36,83,0,2016,4,1,40,67,K,0,995,0
6322,22,12,1-22-2017-012-07,L,7,1,999,999,999,7,1,2008,34,5,89,6,B,9,995,0
6323,33,7,1-33-2017-007-09,F,9,1,999,999,999,6,1,1997,14,3,72,10,B,0,997,8
